5001 Stationär Rygg ficka 55 ,Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,12,"(+-0,3)",1.204,9.96678,199.3%,5.00,,
Beryllium,0.0001,,1.204,0.00008,4.2%,0.00,"0,002 totaldamm*",
Magnesium,0.017,"(+-0,0026)",1.204,0.01412,0.7%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.055,"(+-0,017)",1.204,0.04568,0.9%,5.00,5 totaldamm*,
Kalcium,0.042,,1.204,0.03488,3.5%,1.00,1 respirabel kalciumoxid,
Vanadin,0.0019,"(+-0,00029)",1.204,0.00158,0.8%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.039,"(+-0,0058)",1.204,0.03239,6.5%,0.50,"0,5 totaldamm*",
Mangan,0.084,"(+-0,013)",1.204,0.06977,34.9%,0.20,,
Järn,7.8,"(+-2,3)",1.204,6.47841,185.1%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.00095,"(+-0,00014)",1.204,0.00079,3.9%,0.02,,
Nickel,0.017,"(+-0,0026)",1.204,0.01412,2.8%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.02,"(+-0,0031)",1.204,0.01661,166.1%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.044,"(+-0,0066)",1.204,0.03654,0.7%,5.00,5 totaldamm*,
Arsenik,0.001,"(+-0,00015)",1.204,0.00083,8.3%,0.01,"0,01 totaldamm*",
Molybden,0.0044,"(+-0,00066)",1.204,0.00365,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0001,,1.204,0.00008,0.4%,0.02,"0,02 totaldamm*",
Antimon,0.00037,"(+-0,000055)",1.204,0.00031,0.1%,0.25,,
Barium,0.0015,"(+-0,00023)",1.204,0.00125,0.2%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.204,0.00001,#DIV/0!,,Finns inget,
Bly,0.0093,"(+-0,0014)",1.204,0.00772,7.7%,0.10,,
Viktprocent Bly,,,,,0.078%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
