5002 Julita Acebes XRF1,Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,0.71,"(+-0,04)",1.1865,0.59840,12.0%,5.00,,
Beryllium,0.0001,,1.1865,0.00008,4.2%,0.00,"0,002 totaldamm*",
Magnesium,0.004,"(+-0,00061)",1.1865,0.00337,0.2%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.021,"(+-0,0063)",1.1865,0.01770,0.4%,5.00,5 totaldamm*,
Kalcium,0.02,,1.1865,0.01686,1.7%,1.00,1 respirabel kalciumoxid,
Vanadin,0.0002,"(+-0,000029)",1.1865,0.00017,0.1%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.0012,"(+-0,00019)",1.1865,0.00101,0.2%,0.50,"0,5 totaldamm*",
Mangan,0.0016,"(+-0,00025)",1.1865,0.00135,0.7%,0.20,,
Järn,0.15,"(+-0,045)",1.1865,0.12642,3.6%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.0001,,1.1865,0.00008,0.4%,0.02,,
Nickel,0.0013,"(+-0,0002)",1.1865,0.00110,0.2%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.021,"(+-0,0031)",1.1865,0.01770,177.0%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.064,"(+-0,0097)",1.1865,0.05394,1.1%,5.00,5 totaldamm*,
Arsenik,0.0002,,1.1865,0.00017,1.7%,0.01,"0,01 totaldamm*",
Molybden,0.00012,"(+-0,000018)",1.1865,0.00010,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0001,,1.1865,0.00008,0.4%,0.02,"0,02 totaldamm*",
Antimon,0.0001,,1.1865,0.00008,0.0%,0.25,,
Barium,0.00055,"(+-0,000083)",1.1865,0.00046,0.1%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.1865,0.00001,#DIV/0!,,Finns inget,
Bly,0.0081,"(+-0,0012)",1.1865,0.00683,6.8%,0.10,,
Viktprocent Bly,,,,,1.141%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
