5003 Jonathan Wadlund Kontrollen,Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,0.31,"(+-0,04)",1.1865,0.26127,5.2%,5.00,,
Beryllium,0.0001,,1.1865,0.00008,4.2%,0.00,"0,002 totaldamm*",
Magnesium,0.0029,"(+-0,00043)",1.1865,0.00244,0.1%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.02,,1.1865,0.01686,0.3%,5.00,5 totaldamm*,
Kalcium,0.02,,1.1865,0.01686,1.7%,1.00,1 respirabel kalciumoxid,
Vanadin,0.00012,"(+-0,000018)",1.1865,0.00010,0.1%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.00046,"(+-0,000069)",1.1865,0.00039,0.1%,0.50,"0,5 totaldamm*",
Mangan,0.00041,"(+-0,000062)",1.1865,0.00035,0.2%,0.20,,
Järn,0.043,"(+-0,013)",1.1865,0.03624,1.0%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.0001,,1.1865,0.00008,0.4%,0.02,,
Nickel,0.00034,"(+-0,000051)",1.1865,0.00029,0.1%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.0021,"(+-0,00032)",1.1865,0.00177,17.7%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.0091,"(+-0,0014)",1.1865,0.00767,0.2%,5.00,5 totaldamm*,
Arsenik,0.0002,,1.1865,0.00017,1.7%,0.01,"0,01 totaldamm*",
Molybden,0.0001,,1.1865,0.00008,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0001,,1.1865,0.00008,0.4%,0.02,"0,02 totaldamm*",
Antimon,0.0001,,1.1865,0.00008,0.0%,0.25,,
Barium,0.0002,,1.1865,0.00017,0.0%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.1865,0.00001,#DIV/0!,,Finns inget,
Bly,0.0018,"(+-0,00027)",1.1865,0.00152,1.5%,0.10,,
Viktprocent Bly,,,,,0.581%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
