5004 Stationär Balkong XRF 1-2,Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,2.1,"(+-0,1)",1.1935,1.75953,35.2%,5.00,,
Beryllium,0.0001,,1.1935,0.00008,4.2%,0.00,"0,002 totaldamm*",
Magnesium,0.014,"(+-0,0021)",1.1935,0.01173,0.6%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.057,"(+-0,017)",1.1935,0.04776,1.0%,5.00,5 totaldamm*,
Kalcium,0.037,,1.1935,0.03100,3.1%,1.00,1 respirabel kalciumoxid,
Vanadin,0.00066,"(+-0,000099)",1.1935,0.00055,0.3%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.0037,"(+-0,00055)",1.1935,0.00310,0.6%,0.50,"0,5 totaldamm*",
Mangan,0.0039,"(+-0,00058)",1.1935,0.00327,1.6%,0.20,,
Järn,0.35,"(+-0,11)",1.1935,0.29326,8.4%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.00011,"(+-0,000017)",1.1935,0.00009,0.5%,0.02,,
Nickel,0.0044,"(+-0,00066)",1.1935,0.00369,0.7%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.064,"(+-0,0096)",1.1935,0.05362,536.2%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.32,"(+-0,048)",1.1935,0.26812,5.4%,5.00,5 totaldamm*,
Arsenik,0.0002,,1.1935,0.00017,1.7%,0.01,"0,01 totaldamm*",
Molybden,0.00038,"(+-0,000057)",1.1935,0.00032,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.00019,"(+-0,000029)",1.1935,0.00016,0.8%,0.02,"0,02 totaldamm*",
Antimon,0.00053,"(+-0,00008)",1.1935,0.00044,0.2%,0.25,,
Barium,0.003,"(+-0,044)",1.1935,0.00251,0.5%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.1935,0.00001,#DIV/0!,,Finns inget,
Bly,0.05,"(+-0,0075)",1.1935,0.04189,41.9%,0.10,,
Viktprocent Bly,,,,,2.381%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
