"5005 Dennis Rimmstedt 2,2 ",Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,3.9,"(+-0,1)",1.281,3.04450,60.9%,5.00,,
Beryllium,0.0001,,1.281,0.00008,3.9%,0.00,"0,002 totaldamm*",
Magnesium,0.026,"(+-0,0038)",1.281,0.02030,1.0%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.056,"(+-0,017)",1.281,0.04372,0.9%,5.00,5 totaldamm*,
Kalcium,0.054,,1.281,0.04215,4.2%,1.00,1 respirabel kalciumoxid,
Vanadin,0.0017,"(+-0,00025)",1.281,0.00133,0.7%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.011,"(+-0,0017)",1.281,0.00859,1.7%,0.50,"0,5 totaldamm*",
Mangan,0.017,"(+-0,0026)",1.281,0.01327,6.6%,0.20,,
Järn,1.8,"(+-0,530)",1.281,1.40515,40.1%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.00029,"(+-0,000044)",1.281,0.00023,1.1%,0.02,,
Nickel,0.0052,"(+-0,00078)",1.281,0.00406,0.8%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.017,"(+-0,0025)",1.281,0.01327,132.7%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.056,"(+-0,0084)",1.281,0.04372,0.9%,5.00,5 totaldamm*,
Arsenik,0.0002,,1.281,0.00016,1.6%,0.01,"0,01 totaldamm*",
Molybden,0.00096,"(+-0,00014)",1.281,0.00075,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0001,,1.281,0.00008,0.4%,0.02,"0,02 totaldamm*",
Antimon,0.00022,"(+-0,000032)",1.281,0.00017,0.1%,0.25,,
Barium,0.0018,"(+-0,026)",1.281,0.00141,0.3%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.281,0.00001,#DIV/0!,,Finns inget,
Bly,0.012,"(+-0,0018)",1.281,0.00937,9.4%,0.10,,
Viktprocent Bly,,,,,0.308%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
