5006 Mattias Sjökrans Hjullastare 25591,Analyssvar ,Mät- osäkerhet,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,0.11,"(+-0,04)",1.0115,0.10875,2.2%,5.00,,
Beryllium,0.0001,,1.0115,0.00010,4.9%,0.00,"0,002 totaldamm*",
Magnesium,0.002,,1.0115,0.00198,0.1%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,0.02,,1.0115,0.01977,0.4%,5.00,5 totaldamm*,
Kalcium,0.02,,1.0115,0.01977,2.0%,1.00,1 respirabel kalciumoxid,
Vanadin,0.0001,,1.0115,0.00010,0.0%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,0.00026,"(+-0,00004)",1.0115,0.00026,0.1%,0.50,"0,5 totaldamm*",
Mangan,0.00017,"(+-0,000026)",1.0115,0.00017,0.1%,0.20,,
Järn,0.017,"(+-0,005)",1.0115,0.01681,0.5%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.0001,,1.0115,0.00010,0.5%,0.02,,
Nickel,0.0002,,1.0115,0.00020,0.0%,0.50,"0,5 totaldamm* (metall)",
Koppar,0.00057,"(+-0,000086)",1.0115,0.00056,5.6%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,0.0013,"(+-0,00019)",1.0115,0.00129,0.0%,5.00,5 totaldamm*,
Arsenik,0.0002,,1.0115,0.00020,2.0%,0.01,"0,01 totaldamm*",
Molybden,0.0001,,1.0115,0.00010,0.0%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0001,,1.0115,0.00010,0.5%,0.02,"0,02 totaldamm*",
Antimon,0.0001,,1.0115,0.00010,0.0%,0.25,,
Barium,0.0002,,1.0115,0.00020,0.0%,0.50,"0,5 totaldamm*",
Tallium,0.00001,,1.0115,0.00001,#DIV/0!,,Finns inget,
Bly,0.00018,"(+-0,000026)",1.0115,0.00018,0.2%,0.10,,
Viktprocent Bly,,,,,0.164%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
