"5007 Timmi Nilsson 1,4 Skaken (fysiskt)*",Analyssvar ,Mät- osäkerhet*,Volym,Analysresultat,% av gränsvärdet,Gränsvärde,Kommentarer Gränsvärde,
,mg/ prov,mg/ prov,m3,mg/m3,,mg/m3,mg/m3,
Inahlerbart oorg damm,590,,1.3685,431.12897,8622.6%,5.00,,
Beryllium,0.00016,,1.3685,0.00012,5.8%,0.00,"0,002 totaldamm*",
Magnesium,4.5,,1.3685,3.28827,164.4%,2.00,2 totaldamm,avser Talk Mg3(OH)2Si4O10
Aluminium,4.7,,1.3685,3.43442,68.7%,5.00,5 totaldamm*,
Kalcium,13,,1.3685,9.49945,949.9%,1.00,1 respirabel kalciumoxid,
Vanadin,0.98,,1.3685,0.71611,358.1%,0.20,"0,2 totaldamm*",Vanadinpentoxid
Krom,2,,1.3685,1.46145,292.3%,0.50,"0,5 totaldamm*",
Mangan,1.1,,1.3685,0.80380,401.9%,0.20,,
Järn,230,,1.3685,168.06723,4801.9%,3.50,"3,5 respirablet järnoxid",
Kobolt,0.067,,1.3685,0.04896,244.8%,0.02,,
Nickel,0.58,,1.3685,0.42382,84.8%,0.50,"0,5 totaldamm* (metall)",
Koppar,1.1,,1.3685,0.80380,8038.0%,0.01,"0,01 respirabelt koppar oorg fören",
Zink,7.8,,1.3685,5.69967,114.0%,5.00,5 totaldamm*,
Arsenik,0.016,,1.3685,0.01169,116.9%,0.01,"0,01 totaldamm*",
Molybden,0.048,,1.3685,0.03507,0.4%,10.00,10 totaldamm* svårlösliga,lättlösliga föreningar 5
Kadmium,0.0054,,1.3685,0.00395,19.7%,0.02,"0,02 totaldamm*",
Antimon,0.029,,1.3685,0.02119,8.5%,0.25,,
Barium,0.66,,1.3685,0.48228,96.5%,0.50,"0,5 totaldamm*",
Tallium,0.000068,,1.3685,0.00005,#DIV/0!,,Finns inget,
Bly,1.1,,1.3685,0.80380,803.8%,0.10,,
Viktprocent Bly,,,,,0.186%,,mer än 1vikt% krav på Medicinska kontroller,
över 20% av gränsvärdet rött,,,,,,,,
grön mindre än < ej kunnat analysera lägre nivåer,,,,,,,,
* löst damm på filtret medför orsäkrt rapporteringsvärde för samtliga analyser,,,,,,,,
Viktprocent bly= bly/inhalerbart damm*100,,,,,,,,
